,starting_time,time_window,travel_velocity
9275,2016-07-26,27,"[  7.41444867   9.94854202  10.40412726   6.66666667   9.39947781
  13.97670549   3.21088435   5.63909774   5.50038197]"
9276,2016-07-26,28,"[  9.97474127   9.99485767   9.99928641  10.01015688   9.9994268
   9.99859029   9.99971487  10.02195907   8.2537761 ]"
9277,2016-07-26,29,"[  8.14653931   7.31120311   3.4508913    7.24186797   9.35801489
  11.10465539  10.43006175   9.56632653   4.75442885]"
9289,2016-07-26,52,"[ 5.48523207  8.14606742  2.90237467  8.07017544  8.25688073  3.96787907
  8.17740818  7.6142132   3.30426801]"
9290,2016-07-26,53,"[  7.58754864   8.72180451  10.21097046  12.10526316  14.11764706
  14.78873239  13.48571429   7.5          6.4516129 ]"
9483,2016-08-02,24,"[ 12.16848674  12.15932914  12.16080402  12.16931217  12.16216216
  12.15629522  12.16494845  12.19512195  12.16216216]"
9484,2016-08-02,25,"[ 37.68115942  34.93975904  11.35084428  11.33004926  11.34930643
  11.35135135  11.34615385  11.36363636   2.56182174]"
9485,2016-08-02,26,"[ 8.29968976  8.25746739  7.39231692  9.29292929  9.72550016  9.14364348
  8.61086104  4.53700568  6.05862926]"
9486,2016-08-02,27,"[  7.01895578   9.87674721   9.96926854  11.67084496  12.96144584
  14.17401478  12.72048932  11.50769864   6.82200287]"
9487,2016-08-02,28,"[  8.0421244    9.7844848   10.63703395  11.71401172  10.38339133
   8.96974544  10.56552197  11.46106737   4.76440237]"
9488,2016-08-02,29,"[  9.375        9.41558442  11.32958802  11.05769231  13.3432172
  14.58333333  14.64019851  14.5631068    3.69136119]"
9500,2016-08-02,51,"[  8.53182898  10.20041046   6.91797708  10.19362406  12.82183176
  13.53007851   8.53457718  10.87009565   6.24647037]"
9501,2016-08-02,52,"[ 10.42780749  10.43165468  10.43103448  10.45454545  10.43478261
  10.43478261  14.01425178  14.28571429  14.25742574]"
9502,2016-08-02,53,"[  3.08910891   3.08839191   3.81462799   4.07801418   4.58832526
   6.50154799   1.65660536  24.19354839  24.32432432]"
9823,2016-08-16,28,"[  8.8207462   11.09393148  11.9626688   11.85850586  12.47262317
  12.20574405  11.53353895   9.30669399   7.30290917]"
9834,2016-08-16,52,"[  8.98617512   8.93682589  11.39359699  12.23404255  11.4213198
  10.63291139   3.25517241   9.03614458   9.38110749]"
9835,2016-08-16,54,"[  5.06164828   5.06108202   5.15332198   8.27338129   8.27586207
   8.27586207   8.27489481   8.28729282  10.52631579]"
9959,2016-08-23,27,"[  9.23076923   9.23566879   8.20338983   0.86596386  10.85645356  12.5
  11.70634921   8.62068966   7.99112098]"
10557,2016-09-13,24,"[  3.86329866   4.67741935   5.98713508  10.40723982  10.644589     8.9456869
   8.33922261   6.           4.01897851]"
10558,2016-09-13,25,"[  4.18230563  11.67002012  11.65703276  11.6751269   11.68831169
   8.97435897   7.44479495   7.9787234    5.45661235]"
10559,2016-09-13,26,"[  6.81268934   7.40182699   5.2387609    4.83076698  10.46230156
  11.08682638  10.31141302   9.01543993   6.04918645]"
10560,2016-09-13,27,"[  6.02823245   7.28833267   7.63924926   8.71239269  10.38697473
   8.72480057   6.35802771  12.64091895   9.78094286]"
10561,2016-09-13,28,"[ 10.95699557  11.01575107   7.76744158   7.75023697  10.87427222
   8.30913912   5.35631585  10.90525328  10.21598063]"
10562,2016-09-13,29,"[  7.10128424   9.12343951   8.41413488   9.42014964  10.84257006
   9.44032723   9.32874052   9.80744816   7.03646528]"
10582,2016-09-13,51,"[  6.430338     8.84146341   3.2078473    6.26702997   9.33609959
  11.00917431   9.3206951    9.375        4.24403183]"
10583,2016-09-13,52,"[ 7.03588238  8.10655043  6.38453874  5.25599882  9.58761105  6.93610758
  9.36531957  9.81625267  7.65114598]"
10584,2016-09-13,53,"[ 7.68472906  8.47953216  3.55359765  1.89144737  3.15623356  3.89429764
  4.84003281  3.7037037   4.01337793]"
10585,2016-09-13,54,"[ 5.47692778  6.47024618  3.14713549  2.69291186  4.63375307  2.77322841
  5.09797146  5.52970587  5.7058716 ]"
10586,2016-09-13,55,"[ 5.23232611  4.71324005  3.58976016  5.08363004  3.61175398  2.7508631
  5.44053815  5.36616382  4.02596448]"
10742,2016-09-20,24,"[  7.99078457  10.04086189   6.05337664   4.29748709  10.16658649
   7.0457144    5.70376322   5.00464503   3.92418928]"
10743,2016-09-20,25,"[ 3.22714108  3.69897959  3.30781848  2.34933606  6.7643743   6.20384047
  5.40045767  5.39568345  5.39932508]"
10744,2016-09-20,26,"[  2.81321919   2.86993011   3.72198828   5.62244302   7.21853121
  10.2573548   10.55375113   8.59375      5.80820927]"
10745,2016-09-20,27,"[ 4.8103021   6.00297131  6.47272979  7.70860215  7.92792982  7.55471211
  8.23879317  8.79881252  8.94410215]"
10746,2016-09-20,28,"[  7.64454618   8.516735     6.72983749   9.66342142   9.74506994
  10.22996748   9.72196964   6.45676795  13.8772453 ]"
10747,2016-09-20,29,"[  7.90211268  10.4234895    8.84594473  11.11543499  11.3298079
   8.3557999    5.08521437  15.45336585  10.46065091]"
10769,2016-09-20,51,"[  4.82673267   5.8         10.40412726  12.92134831  12.82965075
   8.03059273   8.25174825  10.56338028   3.41313107]"
10770,2016-09-20,52,"[ 10.71438054  11.31065885   9.62823834   9.966347    11.07000178
  10.0193625    8.39498336  19.193966    12.69611629]"
10771,2016-09-20,53,"[ 6.22890609  7.69139725  7.56091448  3.42912788  9.03363251  9.89976929
  8.52127308  8.06244654  8.53834326]"
10772,2016-09-20,54,"[  6.21429059   6.69944886   5.02341455   1.55224511   9.45797465
   9.17614246   3.63762115  23.6235119   23.47876005]"
10773,2016-09-20,55,"[  4.86799342   6.69849325   1.43519035   3.98333845   1.56117306
   1.81289972  19.56678779  20.05434783  20.03381961]"
